                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.78132,                0.48765,                0.94014,                0.98364,                0.99762,                0.99233,                0.66166,                 1.2942,                0.49868,                 1.1528,               8.05e-05,               8.05e-05,               8.05e-05
                     91,                0.75338,                0.50091,                0.94227,                0.98165,                0.99762,                0.99272,                0.67114,                 1.2481,                0.48938,                 1.1289,             7.4312e-05,             7.4312e-05,             7.4312e-05
                     92,                0.76235,                0.50336,                 0.9443,                0.97447,                0.99762,                0.99319,                0.68969,                 1.1979,                0.48887,                 1.1062,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     93,                0.74123,                0.49364,                0.94972,                0.97337,                0.99762,                0.99326,                0.69622,                 1.1797,                0.48324,                  1.105,             6.1937e-05,             6.1937e-05,             6.1937e-05
                     94,                0.72721,                0.46934,                0.93953,                0.97282,                0.99762,                0.99325,                0.69498,                 1.1629,                0.47692,                 1.0948,              5.575e-05,              5.575e-05,              5.575e-05
                     95,                0.72639,                0.46242,                0.93232,                0.97576,                      1,                  0.995,                0.69713,                 1.1638,                0.47296,                 1.0895,             4.9562e-05,             4.9562e-05,             4.9562e-05
                     96,                0.72377,                0.46485,                0.92719,                0.97748,                0.99762,                0.99292,                0.68929,                 1.1962,                0.47832,                 1.1087,             4.3375e-05,             4.3375e-05,             4.3375e-05
                     97,                 0.7261,                0.47339,                0.93907,                0.98174,                0.99762,                0.99284,                0.68078,                 1.2248,                0.48301,                 1.1329,             3.7188e-05,             3.7188e-05,             3.7188e-05
                     98,                0.72415,                0.46854,                0.92637,                0.98313,                0.99762,                0.99303,                 0.6881,                 1.1999,                  0.474,                 1.1164,                3.1e-05,                3.1e-05,                3.1e-05
                     99,                0.71841,                0.46088,                0.93667,                0.98423,                0.99762,                0.99291,                0.70241,                 1.1805,                0.46788,                 1.1011,             2.4813e-05,             2.4813e-05,             2.4813e-05
                    100,                0.71576,                0.45271,                0.92486,                0.98364,                0.99762,                0.99304,                0.70615,                 1.1755,                0.46788,                 1.0944,             1.8625e-05,             1.8625e-05,             1.8625e-05
